Date,Total_loans_total,Total_loans_overdue,Total_loans_share_pct,Trade_services_total,Trade_services_share_pct,Mining_energy_total,Mining_energy_share_pct,Agriculture_total,Agriculture_share_pct,Construction_total,Construction_share_pct,Industry_manufacturing_total,Industry_manufacturing_share_pct,Transport_communication_total,Transport_communication_share_pct,Households_total,Households_share_pct,Real_estate_mortgage_total,Real_estate_mortgage_share_pct,State_entities_total,State_entities_share_pct,Budget_orgs_total,Budget_orgs_share_pct,Other_sectors_total,Other_sectors_share_pct,Letter_of_credit_total,Letter_of_credit_share_pct,Guarantees_total,Guarantees_share_pct,Factoring_total,Factoring_share_pct,Overdraft_total,Overdraft_share_pct,Financial_sector_loans_total
6,"21966,2","502,3","2,3","3446,8","15,7","711,1","3,2","538,6","2,5","1155,8","5,3","1083,3","4,9","1095,3","5,0","12573,3","57,2","3301,4","15,0","8,6","0,0","1,2","0,0","726,6","3,3","12,1","0,1","7,9","0,0","65,8","0,3","37,6","0,2","691,6"
7,"22041,9","494,7","2,2","3409,3","15,5","692,5","3,1","535,6","2,4","1127,5","5,1","1088,0","4,9","1081,3","4,9","12734,1","57,8","3382,6","15,3","8,4","0,0","1,2","0,0","735,3","3,3","16,6","0,1","6,5","0,0","71,2","0,3","39,7","0,2","667,3"
8,"22484,1","534,3","2,4","3453,6","15,4","702,4","3,1","540,8","2,4","1098,8","4,9","1102,0","4,9","1103,8","4,9","13063,9","58,1","3468,2","15,4","8,1","0,0","1,2","0,0","738,1","3,3","14,9","0,1","6,6","0,0","76,8","0,3","38,9","0,2","857,5"
9,"23018,6","519,8","2,3","3542,7","15,4","736,6","3,2","565,0","2,5","1118,9","4,9","1111,6","4,8","1110,4","4,8","13395,7","58,2","3530,4","15,3","44,9","0,2","1,1","0,0","752,8","3,3","15,7","0,1","6,3","0,0","55,9","0,2","41,2","0,2","782,2"
10,"23196,5","440,4","1,9","3489,5","15,0","747,0","3,2","534,4","2,3","1104,7","4,8","1152,8","5,0","1326,8","5,7","13469,0","58,1","3464,3","14,9","51,1","0,2","1,1","0,0","760,9","3,3","22,1","0,1","5,9","0,0","51,3","0,2","39,4","0,2","706,6"
11,"23618,0","440,3","1,9","3561,4","15,1","743,2","3,1","538,4","2,3","1136,0","4,8","1165,1","4,9","1319,6","5,6","13788,6","58,4","3600,6","15,2","28,2","0,1","1,0","0,0","776,1","3,3","22,9","0,1","5,7","0,0","50,9","0,2","40,6","0,2","610,6"
12,"23979,1","437,8","1,8","3539,3","14,8","752,8","3,1","532,8","2,2","1133,8","4,7","1210,9","5,0","1426,3","5,9","14006,3","58,4","3630,8","15,1","10,5","0,0","1,0","0,0","800,8","3,3","22,3","0,1","5,9","0,0","51,2","0,2","47,3","0,2","568,8"
2024,"29288,2","449,1","1,5","4152,0","14,2","774,7","2,6","586,9","2,0","1858,4","6,3","1597,8","5,5","1859,9","6,4","17031,0","58,1","4273,0","14,6","24,2","0,1","0,0","0,0","790,6","2,7","47,0","0,2","1,6","0,0","43,7","0,1","71,2","0,2","733,3"
1,"24362,5","454,1","1,9","3506,7","14,4","899,6","3,7","520,7","2,1","1144,3","4,7","1409,0","5,8","1396,0","5,7","14095,9","57,9","3645,7","15,0","9,8","0,0","1,0","0,0","810,1","3,3","29,3","0,1","3,2","0,0","46,6","0,2","36,3","0,1","962,5"
2,"24629,1","469,2","1,9","3557,5","14,4","869,8","3,5","513,2","2,1","1118,3","4,5","1413,5","5,7","1468,1","6,0","14270,6","57,9","3692,3","15,0","9,5","0,0","0,9","0,0","822,4","3,3","25,3","0,1","3,1","0,0","47,7","0,2","40,1","0,2","704,4"
3,"25442,7","470,8","1,9","3724,1","14,6","788,1","3,1","495,9","1,9","1644,1","6,5","1427,3","5,6","1472,1","5,8","14469,8","56,9","3761,3","14,8","9,2","0,0","0,9","0,0","828,5","3,3","31,3","0,1","0,9","0,0","41,3","0,2","38,3","0,2","620,3"
4,"25984,5","462,2","1,8","3768,9","14,5","830,2","3,2","471,3","1,8","1674,6","6,4","1424,9","5,5","1547,5","6,0","14819,4","57,0","3844,6","14,8","9,6","0,0","0,0","0,0","871,4","3,4","24,7","0,1","0,8","0,0","39,9","0,2","39,1","0,2","715,5"
5,"26498,3","466,5","1,8","3832,6","14,5","851,7","3,2","463,6","1,7","1670,2","6,3","1464,7","5,5","1687,0","6,4","15074,8","56,9","3900,0","14,7","9,4","0,0","0,0","0,0","879,1","3,3","23,6","0,1","1,1","0,0","36,0","0,1","38,0","0,1","613,6"
6,"27003,3","451,7","1,7","3880,5","14,4","837,3","3,1","480,7","1,8","1816,0","6,7","1499,0","5,6","1715,3","6,4","15328,2","56,8","3925,6","14,5","16,5","0,1","0,0","0,0","877,7","3,3","21,7","0,1","1,0","0,0","31,1","0,1","46,6","0,2","1072,1"
7,"27268,5","453,7","1,7","3878,8","14,2","825,6","3,0","464,0","1,7","1848,7","6,8","1468,1","5,4","1701,8","6,2","15634,2","57,3","4031,3","14,8","21,0","0,1","0,0","0,0","875,2","3,2","21,1","0,1","0,1","0,0","34,4","0,1","41,8","0,2","736,5"
8,"27649,4","473,1","1,7","3845,3","13,9","836,5","3,0","501,1","1,8","1821,7","6,6","1463,8","5,3","1710,7","6,2","15998,1","57,9","4107,3","14,9","20,0","0,1","0,0","0,0","857,4","3,1","38,7","0,1","0,1","0,0","34,5","0,1","48,3","0,2","1305,6"
9,"28404,6","480,0","1,7","4038,9","14,2","851,0","3,0","529,6","1,9","1884,8","6,6","1500,5","5,3","1773,8","6,2","16365,9","57,6","4161,4","14,7","11,2","0,0","0,0","0,0","842,9","3,0","37,3","0,1","0,1","0,0","36,7","0,1","51,7","0,2","1298,3"
10,"28779,2","479,8","1,7","4020,8","14,0","913,8","3,2","549,7","1,9","1913,5","6,6","1566,6","5,4","1812,9","6,3","16597,8","57,7","4191,6","14,6","11,8","0,0","0,0","0,0","785,4","2,7","39,3","0,1","0,3","0,0","38,5","0,1","49,0","0,2","785,9"
11,"29066,8","496,6","1,7","4057,6","14,0","860,6","3,0","548,9","1,9","1952,2","6,7","1576,1","5,4","1822,4","6,3","16817,4","57,9","4220,5","14,5","17,9","0,1","0,0","0,0","781,5","2,7","47,1","0,2","0,3","0,0","39,8","0,1","48,4","0,2","791,7"
12,"29288,2","449,1","1,5","4152,0","14,2","774,7","2,6","586,9","2,0","1858,4","6,3","1597,8","5,5","1859,9","6,4","17031,0","58,1","4273,0","14,6","24,2","0,1","0,0","0,0","790,6","2,7","47,0","0,2","1,6","0,0","43,7","0,1","71,2","0,2","733,3"
2025,"31946,7","524,5","1,6","4413,3","13,8","684,1","2,1","593,2","1,9","1866,0","5,8","1691,9","5,3","2198,5","6,9","19052,9","59,6","4684,6","14,7","14,2","0,0","0,0","0,0","663,1","2,3","89,6","0,3","5,9","0,0","60,5","0,2","88,9","0,3","615,6"
1,"29325,3","475,1","1,6","4074,0","13,9","793,0","2,7","577,0","2,0","1864,4","6,4","1599,7","5,5","1843,8","6,3","17147,7","58,5","4300,5","14,7","12,3","0,0","0,0","0,0","797,7","2,7","47,7","0,2","0,3","0,0","42,5","0,1","49,9","0,2","766,6"
2,"29402,9","480,1","1,6","4131,7","14,1","768,6","2,6","575,2","2,0","1826,3","6,2","1619,2","5,5","1858,1","6,3","17183,5","58,4","4317,9","14,7","5,4","0,0","0,0","0,0","815,5","2,8","39,6","0,1","0,1","0,0","45,4","0,2","54,1","0,2","930,1"
3,"29679,4","481,6","1,6","4139,6","13,9","762,9","2,6","584,0","2,0","1821,0","6,1","1638,4","5,5","1894,7","6,4","17342,2","58,4","4385,8","14,8","5,8","0,0","0,0","0,0","864,8","2,9","39,4","0,1","0,1","0,0","52,9","0,2","52,1","0,2","973,9"
4,"29898,8","502,6","1,7","4122,4","13,8","764,4","2,6","569,6","1,9","1820,1","6,1","1624,1","5,4","1894,7","6,3","17580,9","58,8","4445,3","14,9","5,3","0,0","0,0","0,0","864,1","2,9","47,4","0,2","0,2","0,0","55,8","0,2","47,1","0,2","1646,0"
5,"30188,8","508,3","1,7","4184,3","13,9","758,7","2,5","563,7","1,9","1850,7","6,1","1629,2","5,4","1906,1","6,3","17762,2","58,8","4463,5","14,8","5,6","0,0","0,0","0,0","864,9","2,9","54,3","0,2","0,2","0,0","52,6","0,2","48,0","0,2","2298,6"
6,"30231,8","527,4","1,7","4208,7","13,9","747,9","2,5","565,4","1,9","1800,6","6,0","1653,9","5,5","1896,0","6,3","17802,1","58,9","4503,0","14,9","7,6","0,0","0,0","0,0","847,4","2,8","62,7","0,2","0,1","0,0","52,7","0,2","59,4","0,2","607,3"
7,"30257,9","529,4","1,7","4205,8","13,9","738,0","2,4","566,1","1,9","1787,2","5,9","1598,1","5,3","1902,1","6,3","17972,3","59,4","4514,5","14,9","8,5","0,0","0,0","0,0","775,9","2,6","69,9","0,2","0,5","0,0","48,0","0,2","56,0","0,2","589,0"
8,"30464,6","530,9","1,7","4194,8","13,8","720,7","2,4","574,9","1,9","1814,6","6,0","1608,6","5,3","1922,6","6,3","18201,8","59,7","4573,9","15,0","5,8","0,0","0,0","0,0","701,7","2,3","78,3","0,3","3,5","0,0","47,8","0,2","58,6","0,2","591,1"
9,"31041,8","528,1","1,7","4280,7","13,8","709,9","2,3","563,4","1,8","1819,8","5,9","1674,2","5,4","2095,2","6,7","18469,6","59,5","4625,4","14,9","6,9","0,0","0,0","0,0","684,8","2,3","90,4","0,3","6,2","0,0","53,7","0,2","59,0","0,2","601,2"
10,"31169,4","544,8","1,7","4222,8","13,5","694,8","2,2","571,4","1,8","1832,0","5,9","1693,6","5,4","2124,1","6,8","18583,7","59,6","4626,2","14,8","6,4","0,0","0,0","0,0","678,4","2,3","96,1","0,3","6,0","0,0","49,7","0,2","65,6","0,2","610,2"
11,"31451,1","557,6","1,8","4294,5","13,7","704,8","2,2","595,9","1,9","1861,1","5,9","1679,4","5,3","2143,4","6,8","18718,3","59,5","4640,0","14,8","15,5","0,0","0,0","0,0","665,9","2,3","91,9","0,3","6,1","0,0","60,0","0,2","56,6","0,2","672,2"
12,"31946,7","524,5","1,6","4413,3","13,8","684,1","2,1","593,2","1,9","1866,0","5,8","1691,9","5,3","2198,5","6,9","19052,9","59,6","4684,6","14,7","14,2","0,0","0,0","0,0","663,1","2,3","89,6","0,3","5,9","0,0","60,5","0,2","88,9","0,3","615,6"
