Date,Total,of which,,Residents,of which,,Nonresidents,of which,,Short-term savings,in national currency,of which,,in foreign currency,of which,,of which transaction accounts,in national currency,of which,,in foreign currency,of which,,Long-term savings,in national currency,of which,,in foreign currency,of which,
,,in national currency,in foreign currency,,in national currency,in foreign currency,,in national currency,in foreign currency,,,Residents,Nonresidents,,Residents,Nonresidents,,,Residents,Nonresidents,,Residents,Nonresidents,,,Residents,Nonresidents,,Residents,Nonresidents
2009,"2334,9","965,6","1369,3","2150,0","940,3","1209,6","184,9","25,2","159,6","1581,7","729,5","716,3","13,2","852,2","767,8","84,4","520,0","353,5","345,9","7,6","166,5","142,3","24,2","753,1","236,1","224,0","12,1","517,1","441,8","75,2"
2010,"3029,8","1409,9","1619,8","2753,1","1369,7","1383,5","276,6","40,3","236,4","1982,6","1050,5","1028,7","21,8","932,1","822,4","109,7","574,1","385,0","373,9","11,1","189,1","158,1","31,0","1047,2","359,5","341,0","18,5","687,7","561,1","126,6"
2011,"4119,8","2281,7","1838,2","3747,4","2225,3","1522,1","372,5","56,4","316,0","2640,3","1615,5","1576,7","38,8","1024,8","846,8","178,0","843,8","613,1","598,9","14,2","230,6","188,5","42,2","1479,6","666,2","648,5","17,6","813,4","675,4","138,0"
2012,"5113,4","2963,9","2149,6","4525,2","2889,8","1635,4","588,2","74,1","514,1","3132,6","2058,6","2002,2","56,4","1074,0","886,2","187,8","1042,8","777,1","760,3","16,9","265,7","227,8","37,9","1980,8","905,3","887,6","17,7","1075,5","749,2","326,4"
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"5315,4","3172,6","2142,8","4715,4","3054,2","1661,2","600,0","118,4","481,6","3184,4","2123,7","2067,0","56,7","1060,7","907,7","153,0","1068,0","792,9","778,0","15,0","275,0","234,4","40,6","2130,9","1048,9","987,2","61,7","1082,1","753,6","328,5"
2,"5416,8","3226,6","2190,2","4798,9","3109,8","1689,0","618,0","116,8","501,2","3189,3","2139,3","2084,3","54,9","1050,0","892,7","157,3","1128,9","864,9","849,3","15,7","264,0","222,5","41,5","2227,6","1087,4","1025,5","61,8","1140,2","796,4","343,9"
3,"5536,0","3259,8","2276,2","4871,3","3144,5","1726,8","664,7","115,3","549,4","3269,0","2197,4","2143,9","53,5","1071,5","910,5","161,0","1145,0","858,8","842,6","16,2","286,2","239,9","46,3","2267,0","1062,4","1000,6","61,8","1204,7","816,3","388,4"
4,"5768,3","3478,1","2290,2","5080,6","3362,0","1718,6","687,6","116,1","571,6","3230,9","2183,1","2128,2","55,0","1047,8","897,0","150,9","1113,8","854,5","838,9","15,6","259,3","223,9","35,4","2537,4","1295,0","1233,8","61,1","1242,4","821,7","420,7"
5,"5891,5","3565,4","2326,1","5199,3","3449,0","1750,3","692,1","116,3","575,8","3344,1","2264,1","2209,7","54,3","1080,1","925,3","154,7","1157,0","876,3","860,1","16,1","280,8","242,6","38,2","2547,3","1301,3","1239,3","62,0","1246,0","825,0","421,1"
6,"5922,2","3583,9","2338,4","5221,5","3467,0","1754,5","700,7","116,8","583,9","3412,7","2325,5","2272,0","53,5","1087,3","925,4","161,8","1202,9","914,5","899,0","15,4","288,4","245,2","43,2","2509,5","1258,4","1195,0","63,4","1251,1","829,0","422,1"
7,"6019,3","3609,9","2409,5","5287,6","3460,7","1826,8","731,7","149,1","582,6","3452,2","2316,0","2230,1","85,8","1136,2","974,9","161,3","1160,1","851,0","832,8","18,2","309,2","276,4","32,7","2567,1","1293,9","1230,6","63,3","1273,2","851,9","421,3"
8,"6090,4","3686,3","2404,2","5353,6","3537,5","1816,0","736,9","148,7","588,1","3492,7","2369,2","2284,5","84,7","1123,6","958,4","165,2","1217,9","909,8","892,0","17,8","308,0","275,1","32,9","2597,7","1317,1","1253,0","64,1","1280,6","857,7","422,9"
9,"6237,4","3810,2","2427,2","5491,3","3660,1","1831,2","746,1","150,1","595,9","3613,5","2471,6","2385,6","86,0","1141,9","970,2","171,7","1311,8","992,4","975,1","17,3","319,4","284,6","34,9","2623,9","1338,7","1274,5","64,2","1285,3","861,1","424,2"
10,"6303,4","3865,8","2437,6","5551,9","3712,4","1839,5","751,5","153,4","598,1","3621,0","2473,3","2383,8","89,4","1147,7","976,1","171,6","1256,7","945,2","927,1","18,0","311,5","278,2","33,3","2682,4","1392,5","1328,6","64,0","1289,8","863,3","426,5"
11,"6419,6","3955,5","2464,2","5659,3","3800,2","1859,1","760,3","155,2","605,1","3718,7","2550,6","2459,5","91,1","1168,1","985,0","183,0","1287,5","977,9","959,8","18,1","309,6","276,9","32,7","2701,0","1404,9","1340,7","64,1","1296,1","874,0","422,1"
12,"6395,8","3888,3","2507,5","5620,3","3730,1","1890,2","775,5","158,2","617,3","3705,5","2445,8","2351,3","94,4","1259,7","1067,1","192,7","1088,3","778,7","759,8","18,9","309,6","272,1","37,4","2690,3","1442,6","1378,8","63,8","1247,7","823,1","424,7"
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"6451,4","3929,8","2521,6","5675,7","3773,1","1902,6","775,7","156,7","619,0","3725,1","2465,8","2368,0","97,8","1259,3","1066,0","193,4","1105,8","806,0","787,9","18,1","299,8","264,0","35,8","2726,3","1464,0","1405,1","58,9","1262,3","836,6","425,6"
2,"6591,7","4028,5","2563,2","5840,3","3894,0","1946,2","751,4","134,5","616,9","3858,0","2558,3","2483,7","74,5","1299,7","1096,9","202,8","1214,4","909,4","891,7","17,7","305,0","271,8","33,2","2733,7","1470,2","1410,3","59,9","1263,4","849,3","414,1"
3,"6656,3","4077,1","2579,3","5959,4","3948,4","2011,0","697,0","128,7","568,3","3990,1","2592,1","2523,3","68,8","1398,0","1141,2","256,8","1256,3","926,8","907,0","19,7","329,5","283,9","45,6","2666,2","1484,9","1425,1","59,9","1181,2","869,7","311,5"
4,"6569,9","4067,0","2502,9","5961,2","3942,2","2018,9","608,7","124,7","484,0","3961,4","2559,6","2494,8","64,8","1401,8","1152,7","249,1","1134,1","800,7","781,7","19,0","333,4","294,8","38,6","2608,5","1507,4","1447,4","59,9","1101,1","866,3","234,9"
5,"6643,0","4158,8","2484,2","6030,3","4032,5","1997,8","612,7","126,3","486,4","3993,8","2629,1","2563,1","66,0","1364,7","1116,8","247,9","1132,3","815,5","796,4","19,0","316,9","279,5","37,4","2649,2","1529,7","1469,4","60,3","1119,5","881,0","238,5"
6,"6720,6","4198,3","2522,3","6093,2","4070,4","2022,8","627,4","127,9","499,5","4023,4","2640,8","2572,7","68,1","1382,6","1123,5","259,1","1129,8","798,5","777,9","20,6","331,3","289,5","41,8","2697,2","1557,4","1497,6","59,8","1139,8","899,3","240,4"
7,"6940,0","4403,6","2536,5","6310,9","4271,7","2039,3","629,1","131,9","497,2","4224,9","2832,3","2760,9","71,4","1392,6","1135,5","257,1","1237,0","922,8","900,3","22,5","314,2","272,8","41,4","2715,1","1571,3","1510,8","60,5","1143,8","903,8","240,1"
8,"6992,8","4447,0","2545,8","6354,8","4314,8","2040,0","638,0","132,2","505,8","4255,7","2860,2","2789,3","70,9","1395,5","1136,1","259,4","1264,9","953,8","931,6","22,2","311,1","270,2","40,9","2737,1","1586,9","1525,5","61,3","1150,3","903,9","246,3"
9,"6959,7","4421,1","2538,6","6329,5","4288,6","2040,8","630,2","132,4","497,7","4217,8","2818,6","2747,9","70,7","1399,2","1146,9","252,4","1233,0","903,6","882,6","21,0","329,4","287,2","42,2","2741,8","1602,5","1540,7","61,8","1139,3","894,0","245,4"
10,"7005,4","4439,2","2566,2","6369,2","4305,6","2063,6","636,2","133,7","502,6","4237,7","2813,1","2741,6","71,5","1424,6","1169,4","255,2","1214,6","872,5","849,5","23,0","342,2","298,9","43,3","2767,8","1626,1","1564,0","62,2","1141,6","894,2","247,4"
11,"7086,4","4482,1","2604,3","6435,6","4348,0","2087,7","650,8","134,2","516,6","4265,6","2808,0","2736,3","71,7","1457,6","1186,1","271,5","1227,9","876,1","852,5","23,5","351,8","300,4","51,4","2820,8","1674,1","1611,6","62,5","1146,7","901,6","245,1"
12,"7188,4","4422,4","2766,0","6472,5","4293,8","2178,7","715,9","128,6","587,2","4344,3","2757,5","2692,0","65,5","1586,9","1248,7","338,2","1222,4","884,0","858,7","25,3","338,4","296,5","41,9","2844,0","1664,9","1601,8","63,2","1179,1","930,0","249,0"
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"7121,3","4276,3","2845,0","6463,6","4156,0","2307,6","657,7","120,4","537,4","4280,9","2656,7","2599,2","57,5","1624,2","1337,9","286,3","1230,1","892,5","866,6","25,9","337,6","294,4","43,2","2840,4","1619,6","1556,7","62,8","1220,8","969,7","251,1"
2,"7932,7","2987,8","4944,9","7068,8","2920,0","4148,8","863,9","67,8","796,1","4998,6","1930,8","1884,3","46,5","3067,7","2612,8","455,0","1361,2","739,6","716,7","22,8","621,6","559,5","62,1","2934,1","1057,0","1035,7","21,3","1877,1","1536,1","341,1"
3,"7781,6","2697,0","5084,6","6924,2","2641,6","4282,6","857,5","55,4","802,0","4901,8","1702,1","1664,5","37,6","3199,7","2743,7","456,0","1280,6","660,5","641,3","19,2","620,8","555,8","64,3","2879,8","995,0","977,1","17,9","1884,9","1538,8","346,0"
4,"7717,2","2245,1","5472,2","6856,2","2201,7","4654,5","861,1","43,3","817,7","4816,5","1392,2","1363,1","29,1","3424,3","3029,2","395,1","1218,5","574,8","559,7","15,1","643,8","563,0","80,8","2900,7","852,8","838,6","14,2","2047,9","1625,3","422,6"
5,"7601,1","2172,6","5428,5","6747,8","2130,6","4617,2","853,2","42,0","811,2","4756,9","1356,4","1328,9","27,5","3400,5","3012,2","388,4","1177,8","571,8","556,1","15,7","606,0","531,7","74,3","2844,1","816,2","801,7","14,5","2027,9","1605,0","422,9"
6,"7653,6","2179,9","5473,6","6794,1","2137,7","4656,4","859,4","42,2","817,3","4858,4","1389,0","1361,0","28,1","3469,4","3035,3","434,1","1274,0","623,7","608,9","14,8","650,3","569,5","80,8","2795,1","790,9","776,8","14,1","2004,2","1621,1","383,1"
7,"7605,1","2138,7","5466,4","6734,3","2094,7","4639,6","870,8","44,0","826,8","4775,1","1362,9","1330,9","32,1","3412,1","2996,4","415,7","1271,5","615,1","599,8","15,2","656,4","566,6","89,8","2830,1","775,7","763,8","11,9","2054,3","1643,2","411,2"
8,"7320,3","1847,9","5472,4","6462,5","1810,9","4651,5","857,9","37,0","820,9","4551,4","1128,1","1101,7","26,3","3423,3","3007,1","416,2","1147,2","471,5","460,0","11,5","675,7","578,2","97,5","2769,0","719,9","709,2","10,7","2049,1","1644,4","404,7"
9,"7311,8","1777,8","5534,0","6406,3","1742,8","4663,6","905,5","35,0","870,4","4587,5","1087,2","1062,4","24,8","3500,3","3030,9","469,4","1253,1","463,0","451,4","11,6","790,1","628,1","162,1","2724,3","690,6","680,4","10,2","2033,7","1632,6","401,0"
10,"7172,9","1723,8","5449,1","6280,5","1690,0","4590,5","892,5","33,8","858,6","4494,6","1061,2","1037,2","24,0","3433,4","2974,0","459,5","1235,0","497,9","486,5","11,4","737,0","580,3","156,7","2678,3","662,6","652,8","9,9","2015,7","1616,5","399,2"
11,"7089,5","1669,1","5420,5","6209,9","1636,0","4573,9","879,6","33,1","846,5","4423,0","1039,3","1016,0","23,4","3383,7","2934,3","449,4","1203,0","504,4","493,3","11,1","698,6","534,5","164,1","2666,5","629,7","620,0","9,7","2036,8","1639,6","397,2"
12,"9473,9","1420,2","8053,7","8240,9","1386,3","6854,6","1233,1","33,9","1199,1","5929,0","850,0","825,2","24,8","5079,0","4462,4","616,6","1641,2","440,9","427,1","13,8","1200,3","983,5","216,8","3544,9","570,2","561,1","9,1","2974,7","2392,2","582,5"
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"8643,3","1422,1","7221,3","7447,3","1394,0","6053,3","1196,1","28,1","1168,0","5322,7","898,0","878,4","19,6","4424,6","3842,0","582,6","1488,3","395,5","385,4","10,1","1092,8","877,7","215,1","3320,7","524,1","515,6","8,4","2796,6","2211,2","585,4"
2,"8077,3","1408,9","6668,4","6996,3","1380,8","5615,5","1081,0","28,1","1052,9","4738,9","883,4","863,8","19,7","3855,5","3361,5","494,0","1467,8","414,9","404,7","10,2","1052,9","814,2","238,7","3338,4","525,5","517,0","8,5","2812,9","2254,0","558,9"
3,"7888,9","1511,6","6377,3","6860,4","1482,3","5378,1","1028,4","29,3","999,2","4623,2","944,8","923,8","21,0","3678,4","3225,6","452,8","1503,8","493,7","482,8","10,9","1010,1","802,7","207,4","3265,7","566,8","558,5","8,3","2698,9","2152,5","546,4"
4,"7685,0","1407,6","6277,3","6683,7","1377,5","5306,2","1001,3","30,1","971,2","4592,1","893,2","872,6","20,6","3698,8","3215,4","483,4","1552,0","493,1","483,0","10,1","1058,9","859,7","199,2","3092,9","514,4","504,8","9,5","2578,5","2090,7","487,8"
5,"7566,0","1447,5","6118,4","6583,9","1417,2","5166,7","982,0","30,3","951,7","4548,9","936,2","915,1","21,2","3612,6","3134,4","478,3","1539,0","486,2","476,5","9,7","1052,8","858,0","194,8","3017,1","511,3","502,2","9,2","2505,8","2032,3","473,5"
6,"7815,6","1517,1","6298,5","6792,5","1484,7","5307,9","1023,1","32,4","990,6","4737,3","1002,7","979,4","23,3","3734,6","3232,0","502,6","1638,5","546,7","534,8","11,9","1091,8","876,3","215,5","3078,3","514,4","505,3","9,1","2563,9","2075,9","488,0"
7,"7843,8","1506,0","6337,8","6851,7","1474,8","5376,9","992,1","31,2","960,9","4829,5","1023,9","1001,6","22,3","3805,6","3311,3","494,3","1731,4","589,4","578,4","11,0","1142,0","917,2","224,8","3014,4","482,2","473,2","9,0","2532,2","2065,6","466,6"
8,"7931,9","1456,5","6475,4","6913,5","1423,8","5489,6","1018,4","32,7","985,8","4874,7","974,2","950,5","23,7","3900,5","3384,2","516,2","1665,4","531,0","518,4","12,5","1134,4","906,6","227,9","3057,2","482,3","473,3","9,0","2574,9","2105,4","469,6"
9,"7813,9","1426,0","6387,8","6828,5","1395,7","5432,8","985,3","30,3","955,0","4833,3","947,5","926,1","21,4","3885,8","3393,4","492,3","1683,8","518,4","507,9","10,5","1165,4","970,9","194,5","2980,6","478,5","469,6","8,9","2502,1","2039,4","462,7"
10,"7413,1","1397,6","6015,5","6471,7","1365,1","5106,6","941,4","32,5","908,9","4901,9","928,6","904,8","23,7","3973,4","3483,5","489,8","1728,0","480,2","467,2","13,0","1247,8","1039,5","208,4","2511,2","469,1","460,3","8,8","2042,1","1623,1","419,0"
11,"7605,8","1430,5","6175,3","6648,6","1400,2","5248,4","957,2","30,3","926,9","5113,0","976,1","954,5","21,6","4137,0","3630,0","507,0","1842,3","514,0","503,5","10,5","1328,3","1116,9","211,5","2492,7","454,4","445,7","8,7","2038,3","1618,5","419,9"
12,"7448,7","1517,2","5931,4","6481,8","1483,8","4998,0","966,9","33,4","933,4","4967,6","1061,5","1036,7","24,8","3906,1","3396,9","509,3","1737,2","593,1","579,7","13,5","1144,1","926,0","218,1","2481,1","455,8","447,1","8,6","2025,3","1601,1","424,2"
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"7747,2","1452,7","6294,5","6753,9","1420,2","5333,7","993,3","32,5","960,8","5157,3","1000,7","976,2","24,5","4156,6","3620,9","535,7","1674,9","511,3","499,1","12,2","1163,6","926,8","236,8","2589,9","452,0","444,0","8,0","2137,9","1712,8","425,1"
2,"7101,8","1463,7","5638,1","6205,0","1431,3","4773,8","896,7","32,4","864,3","4709,1","1008,9","986,1","22,8","3700,2","3204,7","495,5","1555,8","510,0","499,8","10,2","1045,8","826,2","219,6","2392,7","454,9","445,2","9,6","1937,9","1569,1","368,7"
3,"6911,4","1480,5","5431,0","6033,8","1447,0","4586,8","877,6","33,5","844,1","4599,0","1020,0","996,4","23,6","3579,0","3090,5","488,5","1486,6","507,8","496,5","11,3","978,8","761,9","216,8","2312,5","460,5","450,6","9,9","1852,0","1496,3","355,6"
4,"6873,2","1608,2","5265,0","6006,3","1572,7","4433,5","866,9","35,5","831,4","4637,1","1128,9","1103,5","25,5","3508,2","3016,9","491,3","1572,3","594,4","581,9","12,5","977,9","760,7","217,2","2236,0","479,3","469,3","10,0","1756,7","1416,6","340,1"
5,"6846,7","1744,8","5102,0","6017,9","1698,5","4319,3","828,9","46,2","782,6","4650,3","1253,9","1225,0","28,9","3396,5","2941,5","455,0","1643,4","691,2","679,9","11,3","952,1","759,0","193,1","2196,4","490,9","473,5","17,4","1705,5","1377,8","327,7"
6,"6907,1","1838,4","5068,7","6093,1","1789,4","4303,8","814,0","49,1","764,9","4705,2","1341,5","1312,3","29,2","3363,7","2924,5","439,2","1733,1","734,2","721,8","12,4","998,9","816,0","182,9","2201,9","496,9","477,1","19,8","1704,9","1379,2","325,7"
7,"6860,7","1822,0","5038,7","6054,1","1770,4","4283,7","806,6","51,6","755,0","4669,2","1301,4","1270,2","31,2","3367,8","2930,9","436,9","1648,7","638,9","626,1","12,8","1009,8","831,2","178,5","2191,5","520,6","500,2","20,4","1670,9","1352,8","318,1"
8,"6895,5","1918,4","4977,1","6096,7","1863,5","4233,1","798,8","54,8","744,0","4733,4","1383,5","1349,3","34,2","3349,9","2900,1","449,8","1715,9","684,2","669,9","14,3","1031,7","862,8","168,9","2162,1","534,9","514,3","20,6","1627,2","1333,0","294,2"
9,"7022,2","1981,8","5040,4","6239,1","1926,5","4312,6","783,1","55,3","727,8","4883,4","1432,0","1397,8","34,1","3451,4","3010,8","440,7","1858,0","685,5","672,6","12,9","1172,5","1011,8","160,6","2138,8","549,8","528,7","21,1","1589,0","1301,8","287,2"
10,"7280,1","2189,6","5090,6","6513,5","2134,6","4378,9","766,6","54,9","711,6","5131,4","1620,9","1587,3","33,6","3510,5","3072,5","438,0","2019,9","730,2","717,1","13,1","1289,7","1134,3","155,3","2148,7","568,7","547,3","21,4","1580,1","1306,4","273,6"
